,AnalogValue,Density,Amplitude,Result
0,587,579,0.72,0
1,589,592,0.72,0
2,605,603,0.74,0
3,624,627,0.76,0
4,622,622,0.76,0
5,613,615,0.75,0
6,646,654,0.79,0
7,731,727,0.89,0
8,720,721,0.88,0
9,730,733,0.89,0
10,752,755,0.92,0
11,743,742,0.91,0
12,734,735,0.9,0
13,743,751,0.91,0
14,761,755,0.93,0
15,752,743,0.92,0
16,737,731,0.9,0
17,734,722,0.9,0
18,714,714,0.87,0
19,688,693,0.84,0
20,682,683,0.83,0
21,688,687,0.84,0
22,685,683,0.84,0
23,662,663,0.81,0
24,656,656,0.8,0
25,643,645,0.79,0
26,635,632,0.78,0
27,607,597,0.74,0
28,586,580,0.72,0
29,576,573,0.7,0
30,560,555,0.68,0
31,550,545,0.67,0
32,538,538,0.66,0
33,529,527,0.65,0
34,517,522,0.63,0
35,496,496,0.61,0
36,493,494,0.6,0
37,485,484,0.59,0
38,481,481,0.59,0
39,466,470,0.57,0
40,480,480,0.59,0
41,487,489,0.59,0
42,481,481,0.59,0
43,470,469,0.57,0
44,457,458,0.56,0
45,448,448,0.55,0
46,449,449,0.55,0
47,448,447,0.55,0
48,450,451,0.55,0
49,439,434,0.54,0
50,426,425,0.52,0
51,428,430,0.52,0
52,438,436,0.53,0
53,423,427,0.52,0
54,410,412,0.5,0
55,417,417,0.51,0
56,414,412,0.51,0
57,423,419,0.52,0
58,418,416,0.51,0
59,415,415,0.51,0
60,407,406,0.5,0
61,402,400,0.49,0
62,409,401,0.5,0
63,397,400,0.48,0
64,395,399,0.48,0
65,400,400,0.49,0
66,401,400,0.49,0
67,395,396,0.48,0
68,411,416,0.5,0
69,437,433,0.53,0
70,432,425,0.53,0
71,422,426,0.52,0
72,436,435,0.53,0
73,426,427,0.52,0
74,439,439,0.54,0
75,444,442,0.54,0
76,442,447,0.54,0
77,441,434,0.54,0
78,429,427,0.52,0
79,430,431,0.53,0
80,427,426,0.52,0
81,432,432,0.53,0
82,431,432,0.53,0
83,435,432,0.53,0
84,418,415,0.51,0
85,401,404,0.49,0
86,400,399,0.49,0
87,388,391,0.47,0
88,385,384,0.47,0
89,398,400,0.49,0
90,425,426,0.52,0
91,458,455,0.56,0
92,459,463,0.56,0
93,465,469,0.57,0
94,558,560,0.68,0
95,594,596,0.73,0
96,601,609,0.73,0
97,615,611,0.75,0
98,602,599,0.74,0
99,587,587,0.72,0
0,501,506,0.61,0
1,506,506,0.62,0
2,502,497,0.61,0
3,497,498,0.61,0
4,484,483,0.59,0
5,471,473,0.58,0
6,464,471,0.57,0
7,462,462,0.56,0
8,454,457,0.55,0
9,449,444,0.55,0
10,437,429,0.53,0
11,430,449,0.53,0
12,426,426,0.52,0
13,418,417,0.51,0
14,413,409,0.5,0
15,409,405,0.5,0
16,406,400,0.5,0
17,406,390,0.5,0
18,412,431,0.5,0
19,408,418,0.5,0
20,402,402,0.49,0
21,401,409,0.49,0
22,405,421,0.49,0
23,400,406,0.49,0
24,401,401,0.49,0
25,399,397,0.49,0
26,400,390,0.49,0
27,395,394,0.48,0
28,414,414,0.51,0
29,411,416,0.5,0
30,418,422,0.51,0
31,453,454,0.55,0
32,474,503,0.58,0
33,474,478,0.58,0
34,506,510,0.62,0
35,557,557,0.68,0
36,565,571,0.69,0
37,573,567,0.7,0
38,564,563,0.69,0
39,557,559,0.68,0
40,560,560,0.68,0
41,562,563,0.69,0
42,559,560,0.68,0
43,569,560,0.69,0
44,562,559,0.69,0
45,560,559,0.68,0
46,551,547,0.67,0
47,545,542,0.67,0
48,531,528,0.65,0
49,531,529,0.65,0
50,511,521,0.62,0
51,525,509,0.64,0
52,538,534,0.66,0
53,529,523,0.65,0
54,541,541,0.66,0
55,547,551,0.67,0
56,541,527,0.66,0
57,538,530,0.66,0
58,534,528,0.65,0
59,528,529,0.64,0
60,533,528,0.65,0
61,551,542,0.67,0
62,560,563,0.68,0
63,563,560,0.69,0
64,574,565,0.7,0
65,586,570,0.72,0
66,601,608,0.73,0
67,603,601,0.74,0
68,602,608,0.74,0
69,606,603,0.74,0
70,621,621,0.76,0
71,634,630,0.77,0
72,653,651,0.8,0
73,656,653,0.8,0
74,633,649,0.77,0
75,633,633,0.77,0
76,626,626,0.76,0
77,624,624,0.76,0
78,624,615,0.76,0
79,614,611,0.75,0
80,605,599,0.74,0
81,606,618,0.74,0
82,602,608,0.74,0
83,594,592,0.73,0
84,586,583,0.72,0
85,576,577,0.7,0
86,570,570,0.7,0
87,560,561,0.68,0
88,549,574,0.67,0
89,530,532,0.65,0
90,525,525,0.64,0
91,509,508,0.62,0
92,496,502,0.61,0
93,503,503,0.61,0
94,505,509,0.62,0
95,498,499,0.61,0
96,499,501,0.61,0
97,498,496,0.61,0
98,491,490,0.6,0
99,483,482,0.59,0
